,city,country,latitude,temperature,humidity,cloudiness,windSpeed
264,salalah,om,17.01,78.8,88.0,90.0,3.36
267,vestmannaeyjar,is,63.44,49.6,90.0,68.0,12.77
268,chagda,ru,,,,,
270,burica,pa,,,,,
271,najran,sa,17.54,82.4,37.0,5.0,2.24
272,khormuj,ir,,,,,
276,leshukonskoye,ru,64.9,53.37,78.0,36.0,6.17
279,manga,br,-14.75,80.15,48.0,68.0,10.76
281,caborca,mx,30.58,79.3,67.0,44.0,3.6
282,grand river south east,mu,,,,,
283,hilo,us,19.71,76.57,83.0,90.0,3.36
284,ambatofinandrahana,mg,-20.55,35.2,71.0,0.0,3.6
285,moba,cd,-7.04,62.82,87.0,0.0,4.38
286,mahebourg,mu,-20.41,64.4,88.0,40.0,3.36
289,ribeira grande,pt,38.52,74.3,100.0,24.0,6.62
291,ambilobe,mg,-13.19,57.47,83.0,0.0,4.72
292,waverly,us,37.04,82.9,78.0,1.0,8.3
293,mys shmidta,ru,,,,,
296,rosario do sul,br,-30.26,47.3,80.0,0.0,17.25
308,antalaha,mg,-14.9,68.31,94.0,64.0,7.85
309,alihe,cn,50.57,68.05,88.0,92.0,3.49
310,kalmunai,lk,7.42,79.47,88.0,44.0,3.6
311,wana,pk,32.31,69.31,90.0,88.0,3.15
315,plouzane,fr,48.38,57.63,93.0,0.0,3.36
316,longyearbyen,sj,78.22,42.8,87.0,75.0,11.41
327,bealanana,mg,-14.54,41.67,99.0,0.0,2.37
328,kuche,cn,,,,,
329,vanimo,pg,-2.67,83.3,100.0,24.0,11.99
330,samarai,pg,-10.62,78.17,100.0,36.0,14.9
332,mazatlan,mx,23.22,82.4,69.0,90.0,6.93
336,matagami,ca,49.76,71.6,60.0,20.0,4.7
340,nome,us,30.04,79.65,83.0,1.0,3.36
343,port blair,in,11.67,78.94,100.0,76.0,18.81
344,leh,in,34.16,39.96,98.0,76.0,1.03
349,upernavik,gl,72.79,39.6,96.0,92.0,10.42
351,sitka,us,37.17,69.17,90.0,0.0,4.16
353,baraya,co,9.08,73.26,100.0,48.0,2.37
354,honiara,sb,-9.43,86.0,66.0,75.0,4.7
356,chokurdakh,ru,70.62,50.18,76.0,0.0,13.56
361,la ronge,ca,55.1,77.0,50.0,20.0,4.7
366,carnarvon,au,-24.87,69.12,81.0,0.0,15.23
371,soligalich,ru,59.08,50.27,87.0,0.0,5.95
373,sakhipur,bd,24.3,84.2,83.0,75.0,9.17
379,srivardhan,in,18.03,73.71,100.0,92.0,7.52
382,rongcheng,cn,37.16,85.32,84.0,32.0,10.65
384,avdon,ru,54.67,60.8,93.0,75.0,11.18
386,kudat,my,6.89,80.6,83.0,75.0,3.36
387,kropotkin,ru,45.43,71.87,57.0,36.0,16.69
388,edd,er,13.93,82.18,50.0,0.0,2.37
389,ilulissat,gl,69.22,39.2,93.0,75.0,4.7
392,saleaula,ws,,,,,
394,thompson,ca,55.74,71.6,64.0,75.0,2.82
396,hamilton,bm,32.3,80.6,74.0,20.0,3.36
397,bethel,us,60.79,57.2,62.0,90.0,10.29
398,kirkuk,iq,35.47,70.88,57.0,0.0,3.15
399,maningrida,au,-12.05,82.71,55.0,0.0,14.79
402,saskylakh,ru,71.97,63.05,73.0,44.0,9.86
406,bandarbeyla,so,9.49,79.52,87.0,0.0,33.58
408,halalo,wf,,,,,
409,havoysund,no,71.0,46.4,93.0,0.0,10.29
410,dikson,ru,73.51,50.67,77.0,48.0,20.27
412,hammerfest,no,70.66,46.4,93.0,0.0,10.29
416,paamiut,gl,61.99,42.04,95.0,0.0,15.57
419,jiddah,sa,,,,,
420,thinadhoo,mv,0.53,82.35,100.0,88.0,4.72
427,qui nhon,vn,,,,,
429,samusu,ws,,,,,
431,puerto leguizamo,co,-0.19,72.72,94.0,0.0,2.15
432,enshi,cn,30.29,85.28,67.0,0.0,3.49
436,dingle,ie,52.14,57.02,100.0,88.0,14.56
437,scarborough,tt,11.18,80.6,74.0,20.0,14.45
438,taoudenni,ml,22.68,82.9,38.0,20.0,8.41
442,xinmin,cn,42.0,84.2,66.0,0.0,6.71
444,dosso,ne,13.05,74.25,93.0,68.0,5.5
446,middelburg,za,-25.77,47.26,95.0,0.0,6.96
450,port macquarie,au,-31.43,66.2,34.0,0.0,9.17
454,jurilovca,ro,44.77,66.2,82.0,0.0,9.17
457,chumikan,ru,54.72,54.91,98.0,92.0,5.73
464,shimoda,jp,34.7,80.19,74.0,40.0,18.34
466,riyadh,sa,24.63,87.8,12.0,64.0,10.29
468,karaul,ru,,,,,
474,beringovskiy,ru,63.05,53.82,89.0,68.0,11.1
476,dawei,mm,14.07,71.42,99.0,92.0,2.37
483,okhtyrka,ua,50.31,54.68,74.0,0.0,6.96
485,ancud,cl,-41.87,40.41,84.0,32.0,4.83
486,san ramon de la nueva oran,ar,-23.13,48.87,76.0,0.0,3.83
488,poum,nc,-20.23,72.95,100.0,44.0,6.4
490,norman wells,ca,65.28,48.2,93.0,90.0,18.34
491,belushya guba,ru,,,,,
492,farafangana,mg,-22.82,72.05,100.0,100.0,7.96
493,klaksvik,fo,62.23,50.0,100.0,64.0,10.29
494,fomboni,km,-12.28,75.47,100.0,0.0,7.74
495,san cristobal,ec,-1.02,59.72,100.0,48.0,1.81
503,uvalde,us,29.21,91.4,38.0,1.0,18.34
505,samokov,mk,41.68,66.2,82.0,0.0,2.24
507,raudeberg,no,61.99,59.0,82.0,80.0,10.29
509,dryden,ca,49.79,77.0,47.0,1.0,4.7
512,teahupoo,pf,-17.83,77.0,73.0,75.0,14.99
515,san juan bautista,py,-26.67,49.77,77.0,0.0,9.31
516,fortuna,us,40.6,57.74,77.0,1.0,11.41
517,porbandar,in,21.64,79.88,89.0,92.0,14.45
518,maceio,br,-9.67,73.4,88.0,75.0,4.7
520,languyan,ph,5.26,85.95,91.0,12.0,12.77
522,petropavlovsk-kamchatskiy,ru,53.05,66.2,63.0,12.0,2.24
526,bairiki,ki,,,,,
528,maine-soroa,ne,13.21,70.43,97.0,12.0,7.4
530,wrexham,gb,53.05,52.18,82.0,40.0,4.7
531,hartselle,us,34.44,78.37,88.0,75.0,4.7
534,makasar,id,-6.28,82.29,66.0,20.0,5.82
535,gigante,co,2.39,58.55,92.0,68.0,2.04
543,tiarei,pf,-17.53,77.0,73.0,75.0,14.99
544,lerwick,gb,60.15,53.6,81.0,32.0,10.29
547,touros,br,-5.2,73.54,99.0,92.0,9.86
549,carbunari,ro,44.83,80.6,54.0,0.0,23.04
550,nguiu,au,,,,,
551,tessalit,ml,20.2,79.07,66.0,64.0,9.98
554,caravelas,br,-17.73,76.41,99.0,64.0,8.97
555,karkaralinsk,kz,,,,,
556,bajil,ye,15.06,78.4,73.0,0.0,3.38
557,new norfolk,au,-42.78,55.4,50.0,75.0,17.22
563,santiago de cuba,cu,20.03,86.77,74.0,40.0,2.24
564,lashio,mm,22.93,71.87,98.0,92.0,2.59
565,jiwani,pk,25.05,80.65,90.0,20.0,11.1
566,abu samrah,qa,,,,,
567,katsuura,jp,33.93,82.4,65.0,75.0,9.17
568,korla,cn,41.76,80.6,44.0,32.0,4.72
569,cabo san lucas,mx,22.89,79.81,83.0,90.0,11.41
575,gornyy,ru,51.76,59.22,69.0,0.0,12.21
580,okhotsk,ru,59.36,66.43,78.0,0.0,4.05
586,khandyga,ru,62.65,67.28,70.0,12.0,3.38
589,calabar,ng,4.98,72.95,100.0,92.0,2.26
592,dum duma,in,27.57,82.4,83.0,40.0,2.37
596,grand gaube,mu,-20.01,64.4,88.0,40.0,3.36
597,iskateley,ru,67.68,55.26,66.0,0.0,15.46
601,acandi,co,8.51,76.1,100.0,64.0,2.04
602,dehri,in,24.87,81.19,92.0,8.0,8.19
607,sisimiut,gl,66.94,35.1,100.0,100.0,4.16
608,luanda,ao,-8.83,69.8,88.0,75.0,2.59
609,severo-kurilsk,ru,50.68,55.22,90.0,56.0,4.72
614,havre-saint-pierre,ca,50.23,57.2,93.0,20.0,3.36
617,muli,mv,2.92,84.25,97.0,92.0,14.12
619,lady lake,us,28.92,81.64,83.0,1.0,3.38
620,kaiyuan,cn,42.54,82.71,81.0,0.0,4.94
621,princeton,ca,49.46,93.49,13.0,40.0,8.05
622,iqaluit,ca,63.75,48.2,76.0,90.0,5.82
623,vila velha,br,-3.71,78.8,78.0,40.0,10.29
626,amapa,br,-1.83,84.16,55.0,0.0,5.06
629,preobrazheniye,ru,42.9,73.85,68.0,24.0,2.37
638,turbat,pk,26.0,78.17,87.0,32.0,4.38
639,da nang,vn,,,,,
640,yerbogachen,ru,61.28,61.52,59.0,12.0,4.27
642,tukrah,ly,,,,,
643,el vigia,ve,8.62,64.4,77.0,40.0,1.7
644,robertsport,lr,6.75,76.5,100.0,92.0,9.86
646,nanortalik,gl,60.14,42.31,98.0,80.0,6.85
647,zolotinka,ru,,,,,
648,chuy,uy,-33.69,50.9,97.0,36.0,14.56
649,acarau,br,,,,,
650,kem,ru,64.96,59.45,76.0,12.0,7.07
651,sakrand,pk,26.14,80.6,74.0,40.0,6.93
660,sechura,pe,-5.56,66.51,87.0,0.0,11.65
661,esperance,au,-33.86,56.12,59.0,80.0,25.08
663,deneysville,za,-26.89,57.87,84.0,100.0,6.96
664,novokruchininskiy,ru,51.78,68.0,64.0,8.0,4.47
666,marienburg,sr,5.88,75.2,94.0,20.0,2.24
673,mae hong son,th,19.3,78.8,78.0,20.0,2.59
675,cururupu,br,-1.82,77.27,87.0,32.0,7.07
677,nikolskoye,ru,59.7,57.2,76.0,0.0,4.47
685,karauzyak,uz,,,,,
686,acapulco,mx,16.86,84.2,74.0,75.0,3.36
704,harlingen,nl,53.18,61.9,87.0,90.0,4.7
706,bay roberts,ca,47.58,66.2,93.0,90.0,18.34
712,mahibadhoo,mv,3.78,83.97,97.0,80.0,14.34
713,polovinnoye,ru,54.79,69.85,83.0,48.0,7.85
716,margate,za,-30.86,52.52,100.0,88.0,8.19
717,asau,tv,,,,,
719,galich,ru,58.38,50.72,91.0,0.0,9.53
720,songkhla,th,7.2,80.6,83.0,75.0,6.93
721,barra patuca,hn,15.8,79.83,100.0,88.0,9.64
722,flinders,au,-34.58,60.8,44.0,40.0,3.36
727,marcona,pe,,,,,
730,juneau,us,58.3,59.74,77.0,90.0,16.11
731,lorain,us,41.47,73.89,73.0,1.0,4.7
733,turayf,sa,31.68,73.4,73.0,0.0,9.17
736,zyryanovsk,kz,49.74,72.0,52.0,0.0,2.04
738,baruun-urt,mn,46.68,70.11,71.0,20.0,9.98
741,watertown,us,44.9,80.73,83.0,1.0,6.93
745,codrington,ag,,,,,
746,ratnagiri,in,16.98,75.92,100.0,92.0,13.56
750,urdzhar,kz,,,,,
753,limbang,my,4.75,85.01,66.0,75.0,4.7
754,creemore,ca,44.33,68.0,94.0,20.0,2.24
757,umm lajj,sa,25.02,77.76,100.0,0.0,3.71
759,sioux lookout,ca,50.1,76.3,53.0,75.0,4.7
762,baykit,ru,61.68,57.33,76.0,64.0,3.83
766,namibe,ao,-15.19,65.12,100.0,64.0,7.74
768,belebey,ru,54.12,55.08,92.0,88.0,14.45
770,murygino,ru,58.74,56.35,68.0,80.0,10.54
771,solsvik,no,,,,,
773,skagastrond,is,,,,,
776,bad windsheim,de,49.5,64.96,82.0,1.0,2.71
777,orlik,ru,52.51,58.06,72.0,76.0,2.37
784,pontianak,id,-0.02,77.0,88.0,20.0,5.17
788,oulainen,fi,64.27,67.28,60.0,68.0,9.19
791,egvekinot,ru,66.32,36.36,82.0,76.0,8.75
799,semirom,ir,31.41,51.98,60.0,0.0,2.26
801,barroualie,vc,,,,,
804,leningradskiy,ru,69.38,33.31,100.0,88.0,13.22
805,louis trichardt,za,-23.04,57.06,82.0,36.0,6.17
806,chilliwack,ca,49.17,90.46,37.0,1.0,4.7
807,palabuhanratu,id,,,,,
809,lavrentiya,ru,65.58,44.65,100.0,80.0,10.98
810,matara,lk,5.95,79.3,92.0,36.0,12.44
815,srednekolymsk,ru,67.46,55.54,60.0,0.0,4.72
818,giyani,za,-23.32,58.86,85.0,92.0,9.19
820,monrovia,lr,6.33,75.2,94.0,75.0,6.06
824,bargal,so,,,,,
827,te anau,nz,-45.41,46.54,88.0,88.0,7.63
831,bangui,cf,4.39,73.4,94.0,20.0,2.24
832,razdolnoye,ua,,,,,
837,koslan,ru,63.46,49.82,81.0,36.0,5.17
839,bundaberg,au,-24.87,65.89,99.0,0.0,12.55
846,gat,ly,,,,,
847,la crosse,us,43.8,75.92,69.0,1.0,5.82
851,ekhabi,ru,53.51,59.0,94.0,92.0,9.19
852,aklavik,ca,68.22,44.6,70.0,90.0,12.75
853,calabozo,ve,8.92,76.69,84.0,8.0,3.6
856,rostovka,ru,55.02,64.4,77.0,40.0,2.24
860,carballo,es,43.21,57.15,93.0,92.0,2.24
867,tsihombe,mg,,,,,
870,makakilo city,us,21.35,85.08,55.0,20.0,13.87
873,oranjestad,aw,12.52,82.4,78.0,20.0,20.8
876,coquimbo,cl,-29.95,53.6,93.0,20.0,5.82
880,llanes,es,43.42,53.37,99.0,92.0,2.59
882,la baneza,es,42.3,46.4,87.0,0.0,2.24
884,sembe,cg,1.65,69.17,97.0,88.0,2.15
885,necochea,ar,-38.55,44.42,98.0,76.0,17.02
888,caohai,cn,26.87,60.8,100.0,100.0,3.6
894,lodwar,ke,3.12,66.2,82.0,8.0,2.59
895,baherden,tm,38.44,79.2,37.0,0.0,3.49
897,alugan,ph,12.22,87.75,83.0,44.0,12.44
905,fuerte,ph,17.54,74.57,98.0,92.0,8.52
907,maldonado,uy,-34.91,50.0,87.0,40.0,6.93
912,fuxin,cn,42.02,87.94,61.0,0.0,6.29
917,tepalcingo,mx,18.6,78.8,47.0,75.0,5.82
919,coihaique,cl,-45.58,38.16,80.0,76.0,2.24
926,poroshkovo,ua,48.67,59.27,86.0,0.0,2.15
929,ponta delgada,pt,37.73,68.0,82.0,20.0,4.7
932,tooele,us,40.53,89.02,18.0,1.0,4.7
934,jinchang,cn,38.52,72.77,74.0,12.0,4.05
938,trairi,br,-3.28,79.39,99.0,8.0,19.82
940,toliary,mg,,,,,
941,takoradi,gh,4.89,75.65,100.0,68.0,9.98
942,praia,cv,14.92,77.0,78.0,75.0,6.93
943,menongue,ao,-14.66,52.02,67.0,20.0,2.15
946,karpogory,ru,64.0,52.52,80.0,88.0,5.39
947,izberbash,ru,42.57,77.0,73.0,20.0,17.9
956,clyde river,ca,70.47,41.0,86.0,90.0,3.36
957,sur,om,22.57,81.64,98.0,32.0,5.28
961,pavagada,in,14.1,78.85,67.0,24.0,15.57
963,seydi,tm,39.48,83.16,32.0,0.0,10.65
964,siilinjarvi,fi,63.08,64.4,68.0,0.0,12.75
965,santa rosa,ar,-36.62,36.72,82.0,0.0,6.17
966,ust-uda,ru,54.17,68.72,69.0,8.0,6.17
973,rybnoye,ru,51.99,56.8,67.0,0.0,11.99
974,pemberton,ca,50.32,89.6,24.0,20.0,5.82
977,avera,pf,,,,,
980,evensk,ru,61.92,56.48,92.0,68.0,0.69
981,luderitz,na,-26.65,52.43,92.0,0.0,18.48
983,ilhabela,br,-23.78,68.76,97.0,12.0,7.85
986,mustasaari,fi,63.17,69.8,68.0,56.0,11.41
988,ozernovskiy,ru,51.5,53.33,93.0,88.0,5.39
989,adrar,dz,27.87,93.2,18.0,56.0,8.05
994,maltahohe,na,-24.83,37.22,41.0,0.0,9.31
996,vila,vu,,,,,
997,sambava,mg,-14.27,72.45,100.0,100.0,14.79
1000,macaboboni,ph,,,,,
1012,venice,us,27.1,80.6,83.0,1.0,6.93
1017,tuatapere,nz,-46.13,51.31,100.0,88.0,8.41
1018,batemans bay,au,-35.71,58.55,74.0,0.0,4.38
1025,sola,vu,-13.88,79.66,92.0,76.0,14.79
1028,mayahi,ne,13.95,73.98,88.0,68.0,9.75
1031,homer,us,59.64,60.91,48.0,90.0,5.82
1033,namtsy,ru,62.72,71.29,51.0,24.0,3.27
1035,biltine,td,14.53,66.25,98.0,20.0,5.84
1038,bilma,ne,18.69,83.07,49.0,8.0,8.19
1039,biak,id,-0.91,78.62,93.0,88.0,5.95
1040,guarapari,br,-20.67,72.27,100.0,48.0,10.09
1041,at-bashi,kg,41.17,58.82,53.0,0.0,1.59
1042,kaeo,nz,-35.1,59.14,70.0,8.0,12.1
1044,zyryanka,ru,65.73,57.69,51.0,8.0,4.16
1054,aketi,cd,2.74,70.7,93.0,48.0,3.71
1055,manokwari,id,-0.87,82.35,100.0,36.0,6.17
1058,belem de sao francisco,br,-8.75,71.87,67.0,0.0,12.33
1059,maymyo,mm,22.03,82.4,74.0,75.0,3.36
1060,rawson,ar,-43.3,39.38,90.0,20.0,11.99
1061,shubarshi,kz,48.59,76.55,48.0,48.0,7.96
1065,pacific grove,us,36.62,65.37,87.0,75.0,6.93
1069,antofagasta,cl,-23.65,55.4,87.0,90.0,4.7
1076,grindavik,is,63.84,47.48,87.0,75.0,19.46
1077,diffa,ne,13.32,70.43,95.0,32.0,6.62
1078,okha,ru,53.59,59.0,94.0,92.0,9.19
1080,cherat,pk,33.82,78.8,83.0,40.0,4.7
1083,puquio,pe,-14.69,29.25,93.0,0.0,3.94
1087,alofi,nu,-19.06,75.2,60.0,40.0,6.93
1089,mozarlandia,br,-14.74,69.35,85.0,0.0,2.37
1093,shache,cn,38.42,80.46,36.0,0.0,5.61
1094,quelimane,mz,-17.88,72.81,96.0,92.0,4.05
1096,boyolangu,id,-8.09,83.7,59.0,8.0,5.61
1098,oktyabrskiy,ru,55.61,49.42,87.0,0.0,2.24
1100,solwezi,zm,-12.18,51.66,43.0,0.0,7.29
1102,weyburn,ca,49.67,77.05,37.0,0.0,5.73
1104,nizhneyansk,ru,,,,,
1107,maniitsoq,gl,65.42,39.87,100.0,92.0,1.59
1113,trujillo,ve,9.37,64.44,75.0,0.0,2.59
1116,wasilla,us,61.58,59.0,67.0,90.0,5.82
1118,bontang,id,0.12,84.6,89.0,48.0,7.4
1120,palmer,us,61.6,59.05,77.0,90.0,4.7
1121,mana,gf,5.67,75.25,91.0,0.0,3.71
1123,nizhniy kuranakh,ru,58.84,66.92,75.0,48.0,2.93
1128,ouallam,ne,14.32,78.85,75.0,64.0,8.08
1136,tynda,ru,55.15,64.81,77.0,56.0,3.49
1139,mitsamiouli,km,-11.38,72.55,100.0,0.0,6.51
